#;Country,Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious,Critical;Tot Cases/1M pop;Deaths/1M pop;Total Tests;Tests/1M pop;Population;Continent
1;USA;81064103;39200;989473;1265;55429994;208532;24644636;5158;242512;2960;961448814;2876279;334268263;North America
2;India;42980067;4184;515490;104;42420120;6554;44457;8944;30638;367;776082445;553227;1402828373;Asia
3;Brazil;29194042;49078;653588;652;27470786;125837;1069668;8318;135722;3039;63776166;296493;215101451;South America
4;France;23234062;69190;139773;155;21929017;92178;1165272;1962;354629;2133;246629975;3764393;65516532;Europe
5;UK;19373884;67159;162482;123;18138356;51648;1073046;275;282888;2372;488292589;7129817;68485991;Europe
6;Russia;17140069;58675;358246;645;14895083;92732;1886740;2300;117366;2453;273400000;1872093;146039751;Europe
7;Germany;16336336;191973;125515;216;12753700;228700;3457121;2494;193938;1490;104701826;1242977;84234696;Europe
8;Turkey;14458881;33243;95954;143;13951247;68822;411680;975;168390;1117;147197493;1714276;85865689;Asia
9;Italy;13159342;48483;156357;156;12001063;59258;1001922;563;218187;2592;190933832;3165756;60312234;Europe
10;Spain;11181510;21936;100992;133;10214067;39988;866451;743;238996;2159;471036328;10068052;46785249;Europe
11;Argentina;8955458;6096;126955;54;8753450;4074;75053;916;195136;2766;34641140;754816;45893460;South America
12;Iran;7107167;5008;138433;173;6754234;7164;214500;3265;82833;1613;47961837;558988;85801235;Asia
13;Netherlands;6912110;74236;21634;10;5139036;86703;1751440;168;401898;1258;21107399;1227270;17198663;Europe
14;Colombia;6074155;739;139189;35;5904365;1086;30601;342;117273;2687;33427450;645377;51795208;South America
15;Indonesia;5826589;26336;151135;304;5258235;31705;417219;2771;20930;543;88286251;317133;278389064;Asia
16;Poland;5774938;14415;113002;234;5152498;9826;509438;602;152870;2991;34285064;907568;37776866;Europe
17;Mexico;5575608;8939;320166;265;4863376;9497;392066;4798;42493;2440;15265608;116344;131211484;North America
18;Japan;5483524;49416;25281;232;4849692;65044;608551;1321;43581;201;40275604;320092;125824999;Asia
19;S. Korea;5212118;342427;9440;158;969524;0;4233154;1087;101515;184;15804065;307811;51343425;Asia
20;Vietnam;5042036;164596;41086;109;2855214;65872;2145736;3878;51027;416;80763591;817346;98811950;Asia
21;Ukraine;4882361;3022;106784;45;N/A;N/A;N/A;177;112778;2467;19521252;450924;43291683;Europe
22;Malaysia;3711199;30246;33497;113;3367542;26653;310160;388;112245;1013;51319407;1552147;33063507;Asia
23;Israel;3690981;6171;10322;0;3634202;8724;46457;410;395773;1107;41373364;4436346;9326000;Asia
24;South Africa;3688423;1867;99656;31;3569538;97;19229;546;60899;1645;23314522;384941;60566459;Africa
25;Philippines;3669283;580;57182;110;3564630;859;47471;289;32751;510;28428336;253747;112034234;Asia
26;Czechia;3653083;10484;39054;36;3536586;4231;77443;153;340062;3635;52943126;4928422;10742409;Europe
27;Belgium;3609122;7495;30313;17;3285590;19837;293219;206;309146;2597;31979911;2739299;11674486;Europe
28;Peru;3530004;1065;211301;49;N/A;N/A;N/A;743;104610;6262;27740350;822074;33744364;South America
29;Australia;3462661;33482;5498;34;3223200;31272;233963;110;133192;211;64217162;2470122;25997564;Australia/Oceania
30;Portugal;3367469;14595;21267;19;2867858;11400;478344;72;331879;2096;37805639;3725911;10146684;Europe
31;Canada;3342123;6496;37143;50;3193127;5266;111853;552;87264;970;58577551;1529486;38298856;North America
32;Chile;3230793;16467;43283;23;2363615;32232;823895;1036;166602;2232;33721518;1738917;19392255;South America
33;Thailand;3088873;22073;23441;69;2843850;24747;221582;687;44067;334;17270775;246392;70094671;Asia
34;Switzerland;2994971;17506;13342;1;2415264;13270;566365;146;341849;1523;19123156;2182734;8761103;Europe
35;Austria;2972647;47795;15113;42;2643941;27848;313593;182;326921;1662;164073801;18044252;9092857;Europe
36;Romania;2781086;4176;64156;62;2606660;0;110270;695;146205;3373;21430789;1126646;19021767;Europe
37;Denmark;2769881;15992;5008;60;2535790;27430;229083;37;475392;860;126078016;21638644;5826521;Europe
38;Greece;2561503;23335;26366;63;2343150;0;191987;360;247790;2551;68111278;6588827;10337391;Europe
39;Sweden;2462952;0;17660;0;2336762;9527;108530;50;241343;1730;18297871;1792992;10205214;Europe
40;Iraq;2310539;723;25082;6;2260833;1765;24624;91;55356;601;18099872;433636;41739823;Asia
41;Bangladesh;1948471;323;29097;1;1852770;2824;66604;1264;11636;174;13583284;81119;167449514;Asia
42;Serbia;1932814;2377;15512;24;1863749;5078;53553;73;222722;1787;8877539;1022976;8678154;Europe
43;Hungary;1809917;2632;44549;54;1641256;4475;124112;118;188159;4631;10892581;1132393;9619078;Europe
44;Jordan;1654677;0;13882;0;1572386;0;68409;694;159510;1338;16319298;1573168;10373528;Asia
45;Georgia;1629930;865;16456;26;1570884;2820;42590;0;409913;4139;16026586;4030545;3976283;Asia
46;Slovakia;1534444;11712;18786;36;1374784;19029;140874;206;280823;3438;6540854;1197061;5464092;Europe
47;Pakistan;1516150;758;30287;6;1467868;12103;17995;722;6647;133;26749522;117269;228104063;Asia
48;Norway;1333793;7884;1753;0;88952;0;1243088;17;242836;319;9852076;1793714;5492557;Europe
49;Ireland;1328644;1698;6578;7;1214511;3974;107555;47;264114;1308;11481303;2282308;5030567;Europe
50;Kazakhstan;1304012;164;13639;4;1277402;290;12971;528;68079;712;11575012;604297;19154496;Asia
51;Morocco;1161848;72;16029;0;1144337;264;1482;293;30862;426;11237010;298488;37646466;Africa
52;Bulgaria;1107888;1920;35995;31;866213;3776;205680;365;161489;5247;9324207;1359127;6860438;Europe
53;Lebanon;1081463;1082;10176;7;967949;6344;103338;186;159649;1502;4795578;707937;6774017;Asia
54;Cuba;1074469;518;8502;1;1063575;575;2392;23;94960;751;12920253;1141871;11314984;North America
55;Croatia;1067589;2588;15276;26;1042597;778;9716;59;262780;3760;4554117;1120966;4062671;Europe
56;Tunisia;1017907;0;27989;0;976839;0;13079;157;84638;2327;4419369;367465;12026650;Africa
57;Nepal;977709;68;11949;0;960068;251;5692;100;32571;398;5462794;181984;30018025;Asia
58;Lithuania;945426;6195;8588;37;857594;4524;79244;70;355639;3231;7851386;2953441;2658386;Europe
59;Belarus;934187;1238;6608;14;927014;1903;565;0;98918;700;12577331;1331767;9444093;Europe
60;Slovenia;909863;2181;6382;7;878730;2392;24751;87;437556;3069;2582676;1242018;2079419;Europe
61;Bolivia;895854;430;21470;1;801842;1732;72542;220;75024;1798;2682016;224609;11940836;South America
62;Singapore;885593;17051;1110;11;824461;13707;60022;24;149398;187;23230460;3918935;5927748;Asia
63;UAE;883985;392;2302;0;845470;0;36213;0;87598;228;141173639;13989492;10091406;Asia
64;Uruguay;859165;1530;7069;10;839702;2040;12394;92;245898;2023;5783704;1655332;3493985;South America
65;Ecuador;843760;0;35316;0;N/A;N/A;N/A;759;46633;1952;2470170;136522;18093623;South America
66;Costa Rica;820445;1449;8142;6;714949;3183;97354;100;158621;1574;3801529;734968;5172373;North America
67;Guatemala;795808;0;17106;0;745959;0;32743;5;43080;926;4019705;217601;18472824;North America
68;Azerbaijan;789883;126;9558;11;777396;882;2929;0;76740;929;6611402;642325;10292920;Asia
69;Panama;758613;301;8125;3;747483;323;3005;26;171283;1835;5570079;1257639;4428996;North America
70;Saudi Arabia;748121;187;9013;2;729206;483;9902;354;20941;252;41140513;1151567;35725687;Asia
71;Latvia;719813;7542;5384;15;607775;11305;106654;43;388854;2909;6854165;3702726;1851113;Europe
72;Finland;703052;8910;2573;2;46000;0;654479;30;126557;463;10071803;1813040;5555202;Europe
73;Sri Lanka;654336;1307;16361;22;618503;117;19472;0;30343;759;6368159;295310;21564310;Asia
74;Paraguay;645020;411;18510;16;617428;780;9082;106;88603;2543;2550030;350283;7279909;South America
75;Kuwait;624573;368;2549;1;617046;652;4978;17;142701;582;7754247;1771674;4376792;Asia
76;Myanmar;602321;1301;19398;4;552616;1734;30307;0;10947;353;7315672;132955;55023466;Asia
77;Palestine;579071;128;5297;5;567912;670;5862;73;109243;999;3078533;580772;5300762;Asia
78;Dominican Republic;576220;91;4372;1;571339;555;509;29;52237;396;3154505;285970;11030908;North America
79;Hong Kong;551233;25991;2869;291;13232;0;535132;68;72537;378;36260319;4771530;7599306;Asia
80;Bahrain;532265;1535;1462;1;514121;2687;16682;9;295550;812;9476798;5262163;1800932;Asia
81;Estonia;523278;2873;2320;12;414701;2408;106257;21;394024;1747;3155803;2376293;1328036;Europe
82;Venezuela;517516;352;5653;1;508216;382;3647;230;18287;200;3359014;118692;28300375;South America
83;Moldova;506222;226;11304;6;486112;809;8806;55;125983;2813;3069931;764009;4018188;Europe
84;Libya;499132;293;6321;7;479747;1304;13064;125;71016;899;2446523;348089;7028448;Africa
85;Egypt;493658;884;24257;13;423457;322;45944;122;4676;230;3693367;34982;105579806;Africa
86;Ethiopia;469095;48;7482;5;420460;23;41153;59;3917;62;4550099;37997;119750048;Africa
87;Mongolia;466303;161;2176;0;313256;0;150871;192;138489;646;4030048;1196900;3367073;Asia
88;Armenia;421592;51;8560;8;407348;266;5684;0;141828;2880;2924553;983849;2972562;Asia
89;Honduras;414714;0;10812;0;129792;0;274110;105;40780;1063;1263329;124227;10169530;North America
90;Oman;385769;256;4249;0;376585;566;4935;32;72446;798;25000000;4694910;5324916;Asia
91;Bosnia and Herzegovina;372817;172;15599;9;192218;0;165000;0;114837;4805;1711182;527088;3246483;Europe
92;Qatar;358694;130;672;1;356253;296;1769;0;127749;239;3388508;1206817;2807805;Asia
93;Cyprus;341383;2866;886;3;124370;0;216127;60;279331;725;9477138;7754506;1222146;Asia
94;Kenya;323129;14;5641;0;317265;36;223;1;5795;101;3418275;61301;55762472;Africa
95;Zambia;314641;482;3960;1;308826;42;1855;4;16346;206;3297975;171331;19249179;Africa
96;Réunion;310181;0;680;0;298082;0;11419;41;342340;751;1498366;1653714;906061;Africa
97;North Macedonia;300398;292;9104;7;289064;303;2230;0;144198;4370;1904444;914178;2083230;Europe
98;New Zealand;286750;22495;65;0;84428;12817;202257;0;57326;13;6821356;1363698;5002100;Australia/Oceania
99;Albania;272412;75;3483;0;267776;104;1153;13;94834;1213;1755947;611294;2872510;Europe
100;Algeria;265346;23;6860;2;177955;29;80531;13;5873;152;230861;5110;45182541;Africa
101;Botswana;263950;0;2619;0;259434;0;1897;1;108556;1077;2026898;833614;2431459;Africa
102;Nigeria;254777;0;3142;0;249209;0;2426;11;1187;15;4519905;21050;214727309;Africa
103;Zimbabwe;241049;706;5407;7;229914;250;5728;12;15831;355;2118965;139160;15226816;Africa
104;Uzbekistan;237045;51;1637;0;234285;88;1123;23;6914;48;1377915;40190;34285010;Asia
105;Montenegro;231227;112;2690;1;227614;139;923;60;368079;4282;1183011;1883176;628200;Europe
106;Mozambique;225159;9;2198;1;221863;368;1098;13;6880;67;1280179;39117;32727007;Africa
107;Kyrgyzstan;200671;13;2969;1;195734;21;1968;131;29928;443;1907195;284435;6705210;Asia
108;Luxembourg;189830;1082;1000;1;178181;803;10649;5;295177;1555;4092687;6363948;643105;Europe
109;Afghanistan;175525;111;7636;6;158034;167;9855;1124;4344;189;900263;22283;40402155;Asia
110;Maldives;173666;329;297;0;159080;436;14289;25;312039;534;2206464;3964517;556553;Asia
111;Uganda;163431;15;3593;1;100097;22;59741;35;3393;75;2489193;51677;48168074;Africa
112;Ghana;160667;9;1444;2;158992;355;231;1;4995;45;2321483;72178;32163418;Africa
113;Namibia;157366;8;4014;0;153069;0;283;1;60103;1533;964061;368204;2618281;Africa
114;El Salvador;156364;0;4093;1;132410;0;19861;153;23904;626;1758939;268899;6541269;North America
115;Iceland;153244;2778;76;3;75685;0;77483;5;444225;220;1808972;5243868;344969;Europe
116;Laos;144759;208;635;2;7660;0;136464;0;19423;85;1002806;134548;7453124;Asia
117;Cambodia;133263;198;3043;0;127683;339;2537;0;7789;178;2892129;169050;17108133;Asia
118;Trinidad and Tobago;131378;414;3669;2;104797;0;22912;18;93367;2607;639149;454227;1407113;North America
119;Guadeloupe;130705;1964;843;6;2250;0;127612;19;326567;2106;938039;2343697;400239;North America
120;Rwanda;129569;2;1458;0;45522;0;82589;1;9603;108;4939362;366099;13491883;Africa
121;Jamaica;128246;18;2835;4;78996;50;46415;25;42994;950;871439;292144;2982913;North America
122;Martinique;126221;0;900;0;104;0;125217;10;336791;2401;738299;1969979;374775;North America
123;Cameroon;119322;0;1926;0;117263;0;133;13;4314;70;1751774;63340;27656531;Africa
124;China;111857;337;4636;0;103013;181;4208;8;78;3;160000000;111163;1439323776;Asia
125;Brunei ;100173;3155;155;4;60748;4106;39270;0;225348;349;717784;1614718;444526;Asia
126;Angola;98855;26;1900;0;96817;3;138;0;2858;55;1453019;42014;34584050;Africa
127;DRC;86271;117;1335;0;50930;0;34006;0;916;14;846704;8994;94136520;Africa
128;Senegal;85775;3;1962;0;83750;13;63;1;4905;112;1022788;58493;17485508;Africa
129;Malawi;85461;9;2620;1;76429;11;6412;67;4281;131;551664;27637;19960777;Africa
130;Ivory Coast;81571;10;795;0;80576;68;200;0;2969;29;1436544;52283;27476201;Africa
131;Suriname;78623;44;1319;0;49364;0;27940;1;132034;2215;231236;388323;595474;South America
132;French Guiana;77986;55;394;0;11254;0;66338;4;250201;1264;601360;1929328;311694;South America
133;Malta;72268;138;612;2;70242;84;1414;4;162941;1380;1211456;2731445;443522;Europe
134;French Polynesia;69586;611;643;0;N/A;N/A;N/A;7;245332;2267;0;0;283640;Australia/Oceania
135;Eswatini;69351;20;1391;0;67846;5;114;11;58754;1178;483558;409666;1180371;Africa
136;Fiji;64060;12;834;0;62208;19;1018;0;70599;919;498751;549664;907374;Australia/Oceania
137;Madagascar;63791;0;1373;0;59002;0;3416;26;2208;48;401851;13911;28887501;Africa
138;Guyana;63090;14;1224;1;61618;6;248;4;79565;1544;548185;691334;792938;South America
139;Sudan;61643;12;4865;0;N/A;N/A;N/A;0;1353;107;562941;12353;45570268;Africa
140;New Caledonia;59163;430;304;0;54975;391;3884;18;203929;1048;98964;341120;290115;Australia/Oceania
141;Mauritania;58656;2;981;1;57644;0;31;30;12081;202;756930;155905;4855066;Africa
142;Belize;56976;24;652;0;55658;119;666;6;139045;1591;508633;1241277;409766;North America
143;Barbados;56551;175;323;0;54711;26;1517;0;196380;1122;594294;2063757;287967;North America
144;Cabo Verde;55904;1;401;0;55437;5;66;23;98745;708;400982;708267;566145;Africa
145;Channel Islands;55741;309;146;0;51892;355;3703;0;315707;827;1219609;6907657;176559;Europe
146;Syria;55193;53;3105;3;48801;175;3287;0;3030;170;146269;8030;18215257;Asia
147;Gabon;47564;2;303;0;47212;16;49;1;20555;131;1580654;683079;2314015;Africa
148;Papua New Guinea;41533;0;639;0;39905;0;989;7;4499;69;249149;26988;9231996;Australia/Oceania
